Employee No.,Date (yyyy/mm/dd),Scheduled IN (hh:mm),Scheduled OUT (hh:mm),Scheduled Location,Scheduled Status,Remarks,Adjustment Reason,Update Remark Only (Y),Scheduled OT with Status,OT Hours
08311,2025/12/23,07:30,15:45,CRM,,,,,,
08311,2025/12/24,07:30,15:45,CRM,,,,,,
08311,2025/12/25,15:10,23:25,CRM,,,,,,
08311,2025/12/26,15:10,23:25,CRM,,,,,,
08311,2025/12/27,23:20,07:35,CRM,,,,,,
08311,2025/12/28,23:20,07:35,CRM,,,,,,
08311,2025/12/29,23:20,07:35,CRM,,,,,,
08311,2026/01/01,07:30,15:45,CRM,,,,,,
08311,2026/01/02,07:30,15:45,CRM,,,,,,
08311,2026/01/03,15:10,23:25,CRM,,,,,,
08311,2026/01/04,15:10,23:25,CRM,,,,,,
08311,2026/01/05,15:10,23:25,CRM,,,,,,
08311,2026/01/06,23:20,07:35,CRM,,,,,,
08311,2026/01/07,23:20,07:35,CRM,,,,,,
08311,2026/01/10,07:30,15:45,CRM,,,,,,
08311,2026/01/11,07:30,15:45,CRM,,,,,,
08311,2026/01/12,07:30,15:45,CRM,,,,,,
08311,2026/01/13,15:10,23:25,CRM,,,,,,
08311,2026/01/14,15:10,23:25,CRM,,,,,,
08311,2026/01/15,23:20,07:35,CRM,,,,,,
08311,2026/01/16,23:20,07:35,CRM,,,,,,
08311,2026/01/20,07:30,15:45,CRM,,,,,,
08311,2026/01/21,07:30,15:45,CRM,,,,,,
08311,2026/01/22,15:10,23:25,CRM,,,,,,
08311,2026/01/23,15:10,23:25,CRM,,,,,,
08311,2026/01/24,23:20,07:35,CRM,,,,,,
08311,2026/01/25,23:20,07:35,CRM,,,,,,
08311,2026/01/26,23:20,07:35,CRM,,,,,,
08311,2026/01/29,07:30,15:45,CRM,,,,,,
08311,2026/01/30,07:30,15:45,CRM,,,,,,
08311,2026/01/31,15:10,23:25,CRM,,,,,,
08311,2026/02/01,15:10,23:25,CRM,,,,,,
08311,2026/02/02,15:10,23:25,CRM,,,,,,
08311,2026/02/03,23:20,07:35,CRM,,,,,,
08311,2026/02/04,23:20,07:35,CRM,,,,,,
08311,2026/02/07,07:30,15:45,CRM,,,,,,
08311,2026/02/08,07:30,15:45,CRM,,,,,,
08311,2026/02/09,07:30,15:45,CRM,,,,,,
08311,2026/02/10,15:10,23:25,CRM,,,,,,
08311,2026/02/11,15:10,23:25,CRM,,,,,,
08311,2026/02/12,23:20,07:35,CRM,,,,,,
08311,2026/02/13,23:20,07:35,CRM,,,,,,
08311,2026/02/17,07:30,15:45,CRM,,,,,,
08311,2026/02/18,07:30,15:45,CRM,,,,,,
08311,2026/02/19,15:10,23:25,CRM,,,,,,
08311,2026/02/20,15:10,23:25,CRM,,,,,,
08311,2026/02/21,23:20,07:35,CRM,,,,,,
08311,2026/02/22,23:20,07:35,CRM,,,,,,
08311,2026/02/23,23:20,07:35,CRM,,,,,,
08311,2026/02/26,07:30,15:45,CRM,,,,,,
08311,2026/02/27,07:30,15:45,CRM,,,,,,
08311,2026/02/28,15:10,23:25,CRM,,,,,,
08311,2026/03/01,15:10,23:25,CRM,,,,,,
08311,2026/03/02,15:10,23:25,CRM,,,,,,
08311,2026/03/03,23:20,07:35,CRM,,,,,,
08311,2026/03/04,23:20,07:35,CRM,,,,,,
08311,2026/03/07,07:30,15:45,CRM,,,,,,
08311,2026/03/08,07:30,15:45,CRM,,,,,,
